epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2471.66,1.13948,1.21015,1.47974,0.80694,0.6951,0.75755,0.55784,1.17185,1.12216,1.59141,0.000990365,0.000990365,0.000990365
43,2530.45,1.15658,1.22716,1.4927,0.80915,0.71756,0.76572,0.56245,1.14068,1.06528,1.57564,0.000973861,0.000973861,0.000973861
44,2587.27,1.13837,1.19569,1.49091,0.83396,0.67091,0.75698,0.5654,1.14605,1.09119,1.59305,0.000957358,0.000957358,0.000957358
45,2644.01,1.1234,1.21477,1.47751,0.79667,0.72498,0.76977,0.56987,1.13906,1.06181,1.57518,0.000940855,0.000940855,0.000940855
46,2702.77,1.11318,1.17461,1.45959,0.81585,0.70865,0.77354,0.5738,1.14443,1.05793,1.56971,0.000924352,0.000924352,0.000924352
47,2761.38,1.11354,1.15998,1.44876,0.82816,0.67272,0.76216,0.57014,1.12847,1.07056,1.54861,0.000907848,0.000907848,0.000907848
48,2820.94,1.12699,1.19911,1.47511,0.86493,0.6811,0.77435,0.58195,1.10676,1.04052,1.53748,0.000891345,0.000891345,0.000891345
49,2879.15,1.11394,1.15911,1.46863,0.80853,0.71556,0.77532,0.57513,1.13204,1.06814,1.5719,0.000874842,0.000874842,0.000874842
50,2937.45,1.11275,1.20079,1.46923,0.84315,0.68209,0.77262,0.57201,1.11968,1.03666,1.54538,0.000858338,0.000858338,0.000858338
51,2994.51,1.10064,1.16632,1.44728,0.84691,0.68043,0.7679,0.57964,1.1104,1.03312,1.5356,0.000841835,0.000841835,0.000841835
52,3051.15,1.12576,1.15915,1.45469,0.8394,0.72136,0.77982,0.58042,1.11328,1.04741,1.54956,0.000825332,0.000825332,0.000825332
53,3108.33,1.07798,1.15036,1.42766,0.80966,0.73076,0.78127,0.59324,1.08537,1.00179,1.51642,0.000808828,0.000808828,0.000808828
54,3164.84,1.10915,1.15607,1.45245,0.86161,0.69302,0.77642,0.59064,1.08168,1.0253,1.5218,0.000792325,0.000792325,0.000792325
55,3221.08,1.1061,1.17008,1.46167,0.84129,0.69431,0.77643,0.58429,1.10439,1.03001,1.54267,0.000775822,0.000775822,0.000775822
56,3278.45,1.09788,1.13359,1.44693,0.79343,0.74385,0.78476,0.59358,1.09028,0.99664,1.53025,0.000759318,0.000759318,0.000759318
57,3334.98,1.08995,1.13985,1.45134,0.81585,0.72388,0.78575,0.59675,1.08256,0.99558,1.50352,0.000742815,0.000742815,0.000742815
58,3391.3,1.08621,1.1517,1.43929,0.80489,0.74212,0.78297,0.59664,1.07981,0.99951,1.52923,0.000726312,0.000726312,0.000726312
59,3449.01,1.06886,1.10099,1.42979,0.8091,0.73753,0.78608,0.60166,1.07552,0.99933,1.5193,0.000709809,0.000709809,0.000709809
60,3505.48,1.11455,1.16681,1.46262,0.8164,0.73862,0.79364,0.60929,1.05722,0.97778,1.49425,0.000693305,0.000693305,0.000693305
61,3561.83,1.07482,1.11765,1.43363,0.83925,0.7393,0.79517,0.60594,1.0659,0.97433,1.50198,0.000676802,0.000676802,0.000676802
62,3618.56,1.0732,1.1136,1.42818,0.8312,0.72683,0.79575,0.60972,1.05683,0.95058,1.48693,0.000660299,0.000660299,0.000660299
63,3674.73,1.08316,1.11303,1.43097,0.83921,0.74157,0.80073,0.61455,1.04719,0.94899,1.4856,0.000643795,0.000643795,0.000643795
64,3731.42,1.06472,1.10667,1.4285,0.83036,0.74685,0.79945,0.61568,1.04205,0.9666,1.48098,0.000627292,0.000627292,0.000627292
65,3787.66,1.06084,1.08755,1.42198,0.83355,0.74928,0.80604,0.61352,1.03731,0.94978,1.48394,0.000610789,0.000610789,0.000610789
66,3844.99,1.05636,1.07371,1.41226,0.8352,0.75119,0.80688,0.62015,1.02162,0.92186,1.4695,0.000594286,0.000594286,0.000594286
67,3901.57,1.04487,1.08058,1.41006,0.85026,0.73929,0.80549,0.61743,1.03677,0.92479,1.48319,0.000577782,0.000577782,0.000577782
68,3958.11,1.03018,1.03432,1.38988,0.8537,0.76483,0.81323,0.61646,1.02913,0.9326,1.46954,0.000561279,0.000561279,0.000561279
69,4016.59,1.04631,1.07871,1.40871,0.84867,0.73962,0.80849,0.61973,1.01814,0.91374,1.46524,0.000544776,0.000544776,0.000544776
70,4072.98,1.04823,1.05959,1.4126,0.85131,0.75269,0.8173,0.62892,1.01752,0.91485,1.46159,0.000528272,0.000528272,0.000528272
71,4129.19,1.01998,1.03265,1.38741,0.84928,0.75278,0.81468,0.62991,1.01525,0.90595,1.46139,0.000511769,0.000511769,0.000511769
